title,mixed fandom,ships,characters,hits,kudos,published,Deku,Bakugo,Deku & Bakugo,Aizawa,Prez Mic,Aizawa & Prez Mic,Aizawa & Deku,Enjiro,Bakugo & Kirishima,Shoto,Deku & Shoto,Dabi,Hawks,Dabi & Hawks,Uraraka,Deku & Uraraka,All Might,Deku & All Might,Class,Deku & Class,Denki,Shinsou,Denki & Shinsou,Deku & Shinsou,Reader,Bakugo & Reader,Bakugo & Shoto,Deku & Prez Mic,Mina,Kirashima,Mina & Kirashima,Jirou,Jirou & Denki,Shigaraki Tomura,Deku & Shigaraki Tomura,Aizawa & Shinsou,Nedzu,Deku & Nedzu,Deku & Reader
Purple poison flames meet Blue fire,"['Fandoms:\n鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime), 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)']",['Dabi | Todoroki Touya & Kochou Shinobu'],"['Dabi | Todoroki Touya', 'Kochou Shinobu']",0,,2023-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stuck With Babysitter Duty,"['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga), 文豪ストレイドッグス | Bungou Stray Dogs']",['Dazai Osamu/Nakahara Chuuya (Bungou Stray Dogs)'],"['Midoriya Izuku', 'Dazai Osamu (Bungou Stray Dogs)', 'Nakahara Chuuya (Bungou Stray Dogs)', 'Bakugou Katsuki', 'Todoroki Shouto', 'Aizawa Shouta | Eraserhead', 'Class 1-A (My Hero Academia)', 'Original Characters', 'League of Villains (My Hero Academia)']",0,,2023-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power in UA!!!,"['Fandoms:\nChainsaw Man (Anime), 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)']","['Bakugou Katsuki/Power', 'Power & Class 1-A']","['Power (Chainsaw Man)', 'Ashido Mina', 'Iida Tenya', 'Aizawa Shouta | Eraserhead', 'Bakugou Katsuki', 'Uraraka Ochako', 'Hagakure Tooru', 'Kaminari Denki', 'Kirishima Eijirou', 'Jirou Kyouka', 'Yaoyorozu Momo', 'Asui Tsuyu', 'Shuuzenji Chiyo | Recovery Girl']",508,7.0,2023-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balance and Bondeds,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Midoriya Izuku & Shinsou Hitoshi', 'Midoriya Izuku & Midoriya Inko', 'Other Relationship Tags to Be Added', 'Midoriya Izuku/Shinsou Hitoshi']","['Midoriya Izuku', 'Midoriya Inko', 'Bakugou Katsuki', 'Aizawa Shouta | Eraserhead', 'Shinsou Hitoshi', 'Yamada Hizashi | Present Mic', 'Other Character Tags to Be Added', 'Original Hero Public Safety Commission Characters (My Hero Academia)']",11924,481.0,2023-04-02,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Can't Hold Our Babies,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Bakugou Katsuki/Midoriya Izuku/Uraraka Ochako', 'Bakugou Katsuki/Midoriya Izuku', 'Midoriya Izuku/Uraraka Ochako', 'Bakugou Katsuki/Uraraka Ochako']","['Bakugou Katsuki', 'Uraraka Ochako', 'Midoriya Izuku']",0,,2023-04-02,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"heart ""sutures""",['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Midoriya Izuku/Uraraka Ochako', 'Bakugou Katsuki & Midoriya Izuku', 'Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Class 1-A & Midoriya Izuku', 'Bakugou Katsuki/Kirishima Eijirou', 'Midoriya Izuku & Shuuzenji Chiyo | Recovery Girl']","['Midoriya Izuku', 'Uraraka Ochako', 'Bakugou Katsuki', 'Todoroki Shouto', 'Todoroki Natsuo', 'Kirishima Eijirou', 'Aizawa Shouta | Eraserhead', 'Shuuzenji Chiyo | Recovery Girl']",0,,2023-04-03,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quirk of War,"['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga), God of War (Video Games)']","['Other Relationship Tags to Be Added', 'Midoriya Inko & Midoriya Izuku', 'Midoriya Izuku & Original Character(s)', 'Kratos (god of war) & Izuku Midoriya (My Hero Academia)']","['Midoriya Izuku', 'Kratos (God of War)', 'Original Male Character(s)', 'Original Female Character(s)', 'Midoriya Inko', 'Yagi Toshinori | All Might', 'Bakugou Katsuki']",849,35.0,2023-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unlikely,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Midoriya Izuku/Tokage Setsuna', 'Midoriya Izuku & Todoroki Shouto', 'Midoriya Izuku & Sasaki Mirai | Sir Nighteye']","['Midoriya Izuku', 'Tokage Setsuna', 'Todoroki Shouto', 'Sasaki Mirai | Sir Nighteye', 'Toogata Mirio', 'Gran Torino (My Hero Academia)', 'Aizawa Shouta | Eraserhead', 'Original Characters', 'Yotsubashi Rikiya | Re-Destro', 'Chisaki Kai | Overhaul', 'Sensei | All For One', 'Shigaraki Tomura | Shimura Tenko']",22001,502.0,2023-04-03,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A long lost someone,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Dabi | Todoroki Touya & Midoriya Izuku', 'Dabi | Todoroki Touya & Todoroki Shouto', 'Bakugou Katsuki & Midoriya Izuku']","['Midoriya Izuku', 'Dabi | Todoroki Touya', 'Bakugou Katsuki', 'Todoroki Shouto', 'Shigaraki Tomura | Shimura Tenko', 'Toga Himiko', 'Bubaigawara Jin | Twice', 'Kurogiri (My Hero Academia)']",818,21.0,2023-04-02,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Poison revenge!,"['Fandoms:\n鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime), 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)']",['Kochou Kanae & Kochou Shinobu'],['Kochou Shinobu'],0,,2023-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
