title,mixed fandom,ships,characters,hits,kudos,published,Deku,Bakugo,Deku & Bakugo,Aizawa,Prez Mic,Aizawa & Prez Mic,Aizawa & Deku,Enjiro,Bakugo & Kirishima,Shoto,Deku & Shoto,Dabi,Hawks,Dabi & Hawks,Uraraka,Deku & Uraraka,All Might,Deku & All Might,Class,Deku & Class,Denki,Shinsou,Denki & Shinsou,Deku & Shinsou,Reader,Bakugo & Reader,Bakugo & Shoto,Deku & Prez Mic,Mina,Kirashima,Mina & Kirashima,Jirou,Jirou & Denki,Shigaraki Tomura,Deku & Shigaraki Tomura,Aizawa & Shinsou,Nedzu,Deku & Nedzu,Deku & Reader
CHARM,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Dabi | Todoroki Touya/Reader', 'Aizawa Shouta | Eraserhead/Reader', 'Shigaraki Tomura | Shimura Tenko/Reader', 'Bakugou Katsuki/Reader', 'Midoriya Izuku/Reader', 'Shinsou Hitoshi/Reader', 'Todoroki Shouto/Reader', 'Takami Keigo | Hawks/Reader', 'Kaminari Denki/Reader', 'Monoma Neito/Reader', 'Class 1-A (My Hero Academia)/Reader']","['Dabi | Todoroki Touya', 'Aizawa Shouta | Eraserhead', 'Shigaraki Tomura | Shimura Tenko', 'Bakugou Katsuki', 'Midoriya Izuku', 'Shinsou Hitoshi', 'Todoroki Shouto', 'Yagi Toshinori | All Might', 'Uraraka Ochako', 'Class 1-A (My Hero Academia)', 'Class 1-B (My Hero Academia)', 'League of Villains (My Hero Academia)', 'Takami Keigo | Hawks', 'Kaminari Denki', 'Ashido Mina', 'Monoma Neito']",1028,44.0,2023-04-21,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1
When Reason Fails,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki & Midoriya Izuku', 'Midoriya Izuku/Toga Himiko', 'Midoriya Izuku & Todoroki Shouto', 'Bakugou Katsuki & Todoroki Shouto', 'Midoriya Izuku/Uraraka Ochako', 'Midoriya Izuku & Yagi Toshinori | All Might', 'Bakugou Katsuki/Kamiji Moe | Burnin', 'Bakugou Katsuki/Todoroki Fuyumi', ""It's like Kaguya-Sama Love is War but with more shouts"", 'Ashido Mina/Kirishima Eijirou', 'Intelli Saiko/Todoroki Shouto', 'Todoroki Shouto/Yaoyorozu Momo', 'Intelli Saiko/Yaoyorozu Momo', 'well that certainly happened', 'Tsuyu Asui/Headpats']","['Bakugou Katsuki', 'Midoriya Izuku', 'Toga Himiko', 'Todoroki Shouto', 'Yagi Toshinori | All Might', 'Aizawa Shouta | Eraserhead', 'Uraraka Ochako', 'Shiozaki Ibara', 'Tokage Setsuna', 'Ashido Mina', 'Hatsume Mei']",112019,1689.0,2023-04-21,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
"Farewell,Neverland | Shinso Hitoshi x Y/N",['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Shinsou Hitoshi/Reader', 'Jirou Kyouka/Yaoyorozu Momo', 'Ashido Mina & Bakugou Katsuki & Jirou Kyouka & Kaminari Denki & Kirishima Eijirou & Sero Hanta', 'Asui Tsuyu & Iida Tenya & Midoriya Izuku & Todoroki Shouto & Uraraka Ochako', 'Dabi | Todoroki Touya & Toga Himiko', 'Dabi | Todoroki Touya & Reader', 'Kurogiri (My Hero Academia)/Reader']","['Reader', 'Shinsou Hitoshi', 'Toga Himiko', 'Dabi | Todoroki Touya', 'Kurogiri (My Hero Academia)', 'Bubaigawara Jin | Twice', 'Asui Tsuyu', 'Class 1-A (My Hero Academia)', 'Shigaraki Tomura | Shimura Tenko']",66,3.0,2023-04-21,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1
House of Ghosts,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Sensei | All For One & Shigaraki Tomura | Shimura Tenko', 'Dabi | Todoroki Touya & Shigaraki Tomura | Shimura Tenko', 'Iguchi Shuuichi | Spinner & Shigaraki Tomura | Shimura Tenko', 'Bubaigawara Jin | Twice & Shigaraki Tomura | Shimura Tenko', 'League of Villains & Shigaraki Tomura | Shimura Tenko', 'Midoriya Inko/Sensei | All For One', 'Shimura Nana & Yagi Toshinori | All Might', 'Midoriya Inko & Yagi Toshinori | All Might', 'Midoriya Izuku & Shigaraki Tomura | Shimura Tenko', 'Bubaigawara Jin | Twice & Okuta Kagerou | Giran', 'League of Villains & Okuta Kagerou | Giran', 'Midoriya Izuku & Sensei | All For One', 'Other Relationship Tags to Be Added', 'Kurogiri & Shirakumo Oboro']","['Shigaraki Tomura | Shimura Tenko', 'Sensei | All For One', 'Dabi | Todoroki Touya', 'Okuta Kagerou | Giran', 'Bubaigawara Jin | Twice', 'Yagi Toshinori | All Might', 'Shimura Nana', 'Midoriya Izuku', 'Midoriya Inko', 'Toga Himiko', 'Iguchi Shuuichi | Spinner', 'Sako Atsuhiro | Mr. Compress', 'Hikiishi Kenji | Magne', 'Yoichi | First One For All User (My Hero Academia)', 'Kurogiri (My Hero Academia)']",7421,185.0,2023-04-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Dreamscape,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Midoriya Izuku'],"['Bakugou Katsuki', 'Midoriya Izuku', 'Kirishima Eijirou', 'Kaminari Denki', 'Shinsou Hitoshi', 'Ashido Mina', 'Yoarashi Inasa', 'Todoroki Shouto', 'Aizawa Shouta | Eraserhead', 'Yaoyorozu Momo', 'Kayama Nemuri | Midnight', 'Yagi Toshinori | All Might', 'Iida Tenya', 'Uraraka Ochako', 'Sero Hanta', 'Monoma Neito']",28163,1400.0,2023-04-21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moon Princess,"['Fandoms:\nHarry Potter - Fandom, 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga), 더 게이머 | The Gamer (Webcomic)']",['Harry Potter/Takami Keigo | Hawks'],"['Harry Potter', 'Black Family - Character', 'Moore Family', 'Sirius Black', 'Arcturus Black', 'Midoriya Izuku', 'Takami Keigo', 'Midoriya Inko', 'Midoriya Hisashi', 'OCs']",142,9.0,2023-04-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stay with me (don't leave me alone),['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Bakugou Katsuki/Todoroki Shouto'],"['Todoroki Shouto', 'Bakugou Katsuki']",0,,2023-04-21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Explosión Verde (Bakudeku) (Katsuki Bakugo x Izuku Midoriya),['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki/Midoriya Izuku', 'Dabi | Todoroki Touya & Todoroki Shouto', 'Dabi | Todoroki Touya/Takami Keigo | Hawks', 'Kaminari Denki/Kirishima Eijirou']","['Midoriya Izuku', 'Bakugou Katsuki']",2785,84.0,2023-04-21,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Izuku's life as Usagi,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Midoriya Izuku & Shinsou Hitoshi', 'Midoriya Izuku/Shinsou Hitoshi', 'Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Aizawa Shouta | Eraserhead & Yamada Hizashi | Present Mic', 'Midoriya Izuku & Nedzu', 'Kaminari Denki & Shinsou Hitoshi', 'Bakugou Katsuki & Midoriya Izuku', 'Bakugou Katsuki/Kirishima Eijirou']","['Midoriya Izuku', 'Shinsou Hitoshi', 'Bakugou Katsuki', 'Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic', 'Kaminari Denki', 'Kirishima Eijirou', 'Class 1-A (My Hero Academia)', 'Yagi Toshinori | All Might', 'Midoriya Inko', 'Uraraka Ochako']",857,15.0,2023-04-21,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
The Snapping Thread,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Aizawa Shouta | Eraserhead & Todoroki Shouto', 'Class 1-A & Todoroki Shouto', 'Eri & Todoroki Shouto', 'Todoroki Natsuo & Todoroki Shouto', 'Bakugou Katsuki & Todoroki Shouto']","['Aizawa Shouta | Eraserhead', 'Todoroki Shouto', 'Class 1-A (My Hero Academia)', 'Eri (My Hero Academia)', 'Todoroki Natsuo', 'Todoroki Fuyumi']",10848,743.0,2023-04-21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
