names,dates
Aizawa Shouta,30 Mar 2023
Midoriya Izuku,30 Mar 2023
Bakugou Katsuki,30 Mar 2023
Nedzu (My Hero Academia),30 Mar 2023
Shinsou Hitoshi,30 Mar 2023
Kirishima Eijirou,30 Mar 2023
Kaminari Denki,30 Mar 2023
Sero Hanta,30 Mar 2023
Ashido Mina,30 Mar 2023
Asui Tsuyu,30 Mar 2023
Iida Tenya,30 Mar 2023
Todoroki Shouto,30 Mar 2023
Uraraka Ochako,30 Mar 2023
Shouji Mezou,30 Mar 2023
Tokoyami Fumikage,30 Mar 2023
Dark Shadow (My Hero Academia),30 Mar 2023
Aoyama Yuuga,30 Mar 2023
Hagakure Tooru,30 Mar 2023
Ojiro Mashirao,30 Mar 2023
Satou Rikidou,30 Mar 2023
Yaoyorozu Momo,30 Mar 2023
Toga Himiko,30 Mar 2023
Mineta Minoru,30 Mar 2023
Jirou Kyouka,30 Mar 2023
Class 1-A (My Hero Academia),30 Mar 2023
Class 1-B (My Hero Academia),30 Mar 2023
Aizawa Shouta,30 Mar 2023
Midoriya Izuku,30 Mar 2023
Yagi Toshinori | All Might,30 Mar 2023
Yamada Hizashi | Present Mic,30 Mar 2023
Class 1-A (My Hero Academia),30 Mar 2023
Nedzu (My Hero Academia),30 Mar 2023
Tsukauchi Naomasa,30 Mar 2023
Shuuzenji Chiyo | Recovery Girl,30 Mar 2023
Kayama Nemuri | Midnight,30 Mar 2023
Midoriya Inko,30 Mar 2023
Aizawa Shouta | Eraserhead,01 Apr 2023
Aizawa Shouta | Eraserhead,01 Apr 2023
Aizawa Shouta | Eraserhead,28 Mar 2023
Aizawa Shouta | Eraserhead,28 Mar 2023
Bakugou Katsuki,28 Mar 2023
Ashido Mina,28 Mar 2023
Kirishima Eijirou,28 Mar 2023
Sero Hanta,28 Mar 2023
Yamada Hizashi | Present Mic,28 Mar 2023
Original Female Character(s),28 Mar 2023
Midoriya Izuku,28 Mar 2023
Todoroki Shouto,28 Mar 2023
Yaoyorozu Momo,28 Mar 2023
Asui Tsuyu,28 Mar 2023
Nico di Angelo,28 Mar 2023
Kaminari Denki,28 Mar 2023
Jirou Kyouka,28 Mar 2023
Aizawa Shouta | Eraserhead,31 Mar 2023
Bakugou Katsuki,31 Mar 2023
Kirishima Eijirou,31 Mar 2023
Dabi | Todoroki Touya,31 Mar 2023
Takami Keigo | Hawks,31 Mar 2023
Aizawa Shouta | Eraserhead,01 Apr 2023
Bakugou Katsuki,01 Apr 2023
Kirishima Eijirou,01 Apr 2023
Midoriya Izuku,01 Apr 2023
Original Female Character(s),01 Apr 2023
Todoroki Shouto,01 Apr 2023
Yamada Hizashi | Present Mic,01 Apr 2023
Aizawa Shouta | Eraserhead,28 Mar 2023
Bakugou Katsuki,28 Mar 2023
Yamada Hizashi | Present Mic,28 Mar 2023
Yagi Toshinori | All Might,28 Mar 2023
Shinsou Hitoshi,28 Mar 2023
Todoroki Shouto,28 Mar 2023
Eri (My Hero Academia),28 Mar 2023
Kirishima Eijirou,28 Mar 2023
Tokoyami Fumikage,28 Mar 2023
Dark Shadow (My Hero Academia),28 Mar 2023
Ashido Mina,28 Mar 2023
Kaminari Denki,28 Mar 2023
Sero Hanta,28 Mar 2023
Jirou Kyouka,28 Mar 2023
Monoma Neito,28 Mar 2023
Midoriya Izuku,28 Mar 2023
Yaoyorozu Momo,28 Mar 2023
Class 1-A (My Hero Academia),28 Mar 2023
Aizawa Shouta | Eraserhead,30 Mar 2023
Bibi | Zombie,30 Mar 2023
Shinsou Hitoshi,30 Mar 2023
Mentioned Nedzu - Character,30 Mar 2023
mentioned Yamada Hizashi | Present Mic - Character,30 Mar 2023
Ishida Asuka | Lullaby,30 Mar 2023
Aizawa Shouta | Eraserhead,31 Mar 2023
Chisaki Kai | Overhaul,31 Mar 2023
Yamada Hizashi | Present Mic,31 Mar 2023
Kurono Hari | Chronostasis,31 Mar 2023
Yagi Toshinori | All Might,31 Mar 2023
Todoroki Enji | Endeavor,31 Mar 2023
Dabi (My Hero Academia),31 Mar 2023
Takami Keigo | Hawks,31 Mar 2023
Class 1-A (My Hero Academia),31 Mar 2023
Various BNHA Characters,31 Mar 2023
Aizawa Shouta | Eraserhead,29 Mar 2023
Class 1-A (My Hero Academia),29 Mar 2023
Aizawa Shouta | Eraserhead,02 Apr 2023
Class 1-A (My Hero Academia),02 Apr 2023
Aoyama Yuuga,02 Apr 2023
Aizawa Shouta | Eraserhead,01 Apr 2023
Fukukado Emi | Ms. Joke,01 Apr 2023
Aizawa Shouta | Eraserhead,02 Apr 2023
Fukukado Emi | Ms. Joke,02 Apr 2023
Yamada Hizashi | Present Mic,02 Apr 2023
Aizawa Shouta | Eraserhead,01 Apr 2023
Hyuuga Hinata,01 Apr 2023
Tsukauchi Naomasa,01 Apr 2023
Yagi Toshinori | All Might,01 Apr 2023
Nedzu (My Hero Academia),01 Apr 2023
Midoriya Izuku,01 Apr 2023
Bakugou Katsuki,01 Apr 2023
Aizawa Shouta | Eraserhead,31 Mar 2023
Kayama Nemuri | Midnight,31 Mar 2023
Yamada Hizashi | Present Mic,31 Mar 2023
Midoriya Izuku,31 Mar 2023
Midoriya Inko,31 Mar 2023
Nedzu (My Hero Academia),31 Mar 2023
Shuuzenji Chiyo | Recovery Girl,31 Mar 2023
Original Male Character(s),31 Mar 2023
Aizawa Shouta | Eraserhead,30 Mar 2023
Kayama Nemuri | Midnight,30 Mar 2023
Yamada Hizashi | Present Mic,30 Mar 2023
The Ouran High School Host Club,30 Mar 2023
Aizawa Shouta | Eraserhead,28 Mar 2023
Kochou Shinobu,28 Mar 2023
Amajiki Tamaki,28 Mar 2023
Shigaraki Tomura | Shimura Tenko,28 Mar 2023
Kurogiri (My Hero Academia),28 Mar 2023
Douma (Kimetsu no Yaiba),28 Mar 2023
Rengoku Kyoujurou,28 Mar 2023
Yushiro (Kimetsu no Yaiba),28 Mar 2023
Class 1-A (My Hero Academia),28 Mar 2023
Hadou Nejire,28 Mar 2023
Toogata Mirio,28 Mar 2023
Dabi | Todoroki Touya,28 Mar 2023
Akaguro Chizome | Stain,28 Mar 2023
Aizawa Shouta | Eraserhead,01 Apr 2023
Midoriya Izuku,01 Apr 2023
Aizawa Shouta | Eraserhead,30 Mar 2023
Midoriya Izuku,30 Mar 2023
Ashido Mina,30 Mar 2023
Sero Hanta,30 Mar 2023
Kaminari Denki,30 Mar 2023
Yagi Toshinori | All Might,30 Mar 2023
Bakugou Mitsuki,30 Mar 2023
Bakugou Masaru,30 Mar 2023
Aizawa Shouta | Eraserhead,29 Mar 2023
Midoriya Izuku,29 Mar 2023
Bakugou Katsuki,29 Mar 2023
Shinsou Hitoshi,29 Mar 2023
Class 1-A (My Hero Academia),29 Mar 2023
Александр Духовенов,29 Mar 2023
Иван(Иванна) Зелен,29 Mar 2023
Aizawa Shouta | Eraserhead,30 Mar 2023
Midoriya Izuku,30 Mar 2023
Bakugou Katsuki,30 Mar 2023
Todoroki Shouto,30 Mar 2023
Yagi Toshinori | All Might,30 Mar 2023
Yamada Hizashi | Present Mic,30 Mar 2023
Class 1-A (My Hero Academia),30 Mar 2023
Asui Tsuyu,30 Mar 2023
Uraraka Ochako,30 Mar 2023
Tokoyami Fumikage,30 Mar 2023
Toogata Mirio,30 Mar 2023
Eri (My Hero Academia),30 Mar 2023
Kayama Nemuri | Midnight,30 Mar 2023
Ectoplasm (My Hero Academia),30 Mar 2023
Ishiyama Ken | Cementoss,30 Mar 2023
Kirishima Eijirou,30 Mar 2023
Aizawa Shouta | Eraserhead,30 Mar 2023
Midoriya Izuku,30 Mar 2023
Bakugou Katsuki,30 Mar 2023
Yamada Hizashi | Present Mic,30 Mar 2023
Aizawa Shouta | Eraserhead,30 Mar 2023
Midoriya Izuku,30 Mar 2023
Bakugou Katsuki,30 Mar 2023
Yamada Hizashi | Present Mic,30 Mar 2023
Midoriya Inko,30 Mar 2023
Nezu,30 Mar 2023
