ships,dates
(Slight) Todoroki Shouto/Iida Tenya,02 Apr 2023
Aiba Manami | La Brava & Midoriya Izuku & Tobita Danjuurou | Gentle Criminal,29 Mar 2023
Midoriya Izuku & Original Character(s),29 Mar 2023
Hatsume Mei & Midoriya Izuku,29 Mar 2023
Aiba Manami | La Brava/Tobita Danjuurou | Gentle Criminal,02 Apr 2023
Aizawa Shouta & Kayama Nemuri & Shirakumo Oboro & Yamada Hizashi,29 Mar 2023
Nezu with them all,29 Mar 2023
Shinso Hitoshi with all of them too,29 Mar 2023
Nezu/Chiyo/Ryou,29 Mar 2023
Kayama Nemuri | Midnight/Shirakumo Oboro,29 Mar 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,29 Mar 2023
Izuku with all of the above,29 Mar 2023
Dabi | Todoroki Touya & Shigaraki Tomura | Shimura Tenko & Toga Himiko,29 Mar 2023
Kayama Nemuri | Midnight & Takami Keigo | Hawks,29 Mar 2023
Eri and Pack Nezu,29 Mar 2023
Aizawa Shouta | Eraserhead & Bakugou Katsuki,30 Mar 2023
Aizawa Shouta | Eraserhead & Bakugou Katsuki,31 Mar 2023
Aizawa Shouta | Eraserhead/Bakugou Katsuki,31 Mar 2023
Aizawa Shouta | Eraserhead & Bakugou Katsuki,30 Mar 2023
Bakugou Katsuki & Utsushimi Camie,30 Mar 2023
Bakugou Katsuki & Kaminari Denki,30 Mar 2023
Aizawa Shouta | Eraserhead & Class 1-A,29 Mar 2023
Aizawa Shouta | Eraserhead & Class 1-A,01 Apr 2023
Aizawa Shouta | Eraserhead/Shirakumo Oboro/Yamada Hizashi | Present Mic,01 Apr 2023
Aizawa Shouta | Eraserhead & Class 1-A,01 Apr 2023
Class 1-A & Shinsou Hitoshi,01 Apr 2023
Class 1-A & Class 1-A (My Hero Academia),01 Apr 2023
Other Relationship Tags to Be Added,01 Apr 2023
Jirou Kyouka/Yaoyorozu Momo,01 Apr 2023
Sero Hanta/Todoroki Shouto,01 Apr 2023
Bakugou Katsuki & Midoriya Izuku,01 Apr 2023
Aizawa Shouta | Eraserhead & Shinsou Hitoshi,01 Apr 2023
Bakugou Katsuki/Kaminari Denki/Ojirou Mashirao/Shinsou Hitoshi,01 Apr 2023
Aizawa Shouta | Eraserhead & Dabi | Todoroki Touya,30 Mar 2023
Dabi | Todoroki Touya & Todoroki Shouto,30 Mar 2023
Aizawa Shouta | Eraserhead & Danny Fenton,29 Mar 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,29 Mar 2023
Danny Fenton & Midoriya Izuku,29 Mar 2023
Aizawa Shouta | Eraserhead & Danny Fenton,02 Apr 2023
Class 1-A (My Hero Academia) & Danny Fenton,02 Apr 2023
Aizawa Shouta | Eraserhead & Dazai Osamu (Bungou Stray Dogs),29 Mar 2023
Dazai Osamu & Nakahara Chuuya (Bungou Stray Dogs),29 Mar 2023
Edogawa Ranpo & Nakahara Chuuya (Bungou Stray Dogs),29 Mar 2023
Dazai Osamu & Edogawa Ranpo (Bungou Stray Dogs),29 Mar 2023
Aizawa Shouta | Eraserhead & Dazai Osamu (Bungou Stray Dogs),30 Mar 2023
Dazai Osamu & Oda Sakunosuke (Bungou Stray Dogs),30 Mar 2023
Dazai Osamu & Nakahara Chuuya (Bungou Stray Dogs),30 Mar 2023
Class 1-A (My Hero Academia) & Dazai Osamu (Bungou Stray Dogs),30 Mar 2023
Aizawa Shouta | Eraserhead & Eri,31 Mar 2023
Eri & Toogata Mirio,31 Mar 2023
Aizawa Shouta | Eraserhead & Yamada Hizashi | Present Mic,31 Mar 2023
Aizawa Shouta | Eraserhead & Kayama Nemuri | Midnight & Yamada Hizashi | Present Mic,31 Mar 2023
Aizawa Shouta | Eraserhead & Class 1-A,31 Mar 2023
Aizawa Shouta | Eraserhead & Fukukado Emi | Ms. Joke,02 Apr 2023
Aizawa Shouta | Eraserhead & Hatake Kakashi,28 Mar 2023
Aizawa Shouta | Eraserhead & Hatake Kakashi,01 Apr 2023
Hatake Kakashi & Yamada Hizashi | Present Mic,01 Apr 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,01 Apr 2023
Class 1-A (My Hero Academia) & Hatake Kakashi,01 Apr 2023
Hatake Kakashi & Todoroki Shouto,01 Apr 2023
Aizawa Shouta | Eraserhead & Hyuuga Hinata,01 Apr 2023
Aizawa Shouta | Eraserhead & Iida Tensei | Ingenium,02 Apr 2023
Aizawa Shouta | Eraserhead & Iida Tensei | Ingenium,02 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,01 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,01 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,01 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,02 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,28 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,29 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,29 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,31 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,31 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,31 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,31 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,02 Apr 2023
Aizawa Shouta | Eraserhead & Shinsou Hitoshi,02 Apr 2023
Aizawa Shouta | Eraserhead/Shirakumo Oboro/Yamada Hizashi | Present Mic,02 Apr 2023
Midoriya Izuku & Yamada Hizashi | Present Mic,02 Apr 2023
Shinsou Hitoshi & Yamada Hizashi | Present Mic,02 Apr 2023
Midoriya Izuku & Shirakumo Oboro,02 Apr 2023
Shinsou Hitoshi & Shirakumo Oboro,02 Apr 2023
Aizawa Shouta & Iida Tensei & Kayama Nemuri & Shirakumo Oboro & Yamada Hizashi,02 Apr 2023
Bakugou Katsuki & Midoriya Izuku,02 Apr 2023
Ashido Mina & Midoriya Izuku & Shinsou Hitoshi,02 Apr 2023
Hatsume Mei & Midoriya Izuku & Shinsou Hitoshi,02 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,30 Mar 2023
Aizawa Shouta | Eraserhead & Shinsou Hitoshi,30 Mar 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,30 Mar 2023
Bakugou Katsuki/Midoriya Izuku,30 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,31 Mar 2023
Aizawa Shouta | Eraserhead & Shinsou Hitoshi,31 Mar 2023
Midoriya Izuku & Shinsou Hitoshi,31 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,30 Mar 2023
Aizawa Shouta | Eraserhead & Shinsou Hitoshi,30 Mar 2023
Midoriya Izuku & Tsukauchi Naomasa,30 Mar 2023
Bakugou Katsuki & Kirishima Eijirou,30 Mar 2023
Hatsume Mei & Midoriya Izuku,30 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,01 Apr 2023
Aizawa Shouta | Eraserhead & Tsukauchi Naomasa,01 Apr 2023
Bakugou Katsuki & Midoriya Izuku,01 Apr 2023
