ships,dates
Jirou Kyouka/Yaoyorozu Momo,09 Apr 2023
Bakugou Katsuki/Kirishima Eijirou,09 Apr 2023
Dabi | Todoroki Touya/Todoroki Shouto,07 Apr 2023
,08 Apr 2023
Bakugou Katsuki/Reader,08 Apr 2023
Bakugou Katsuki/Original Female Character(s),08 Apr 2023
Midoriya Izuku/Reader,08 Apr 2023
Midoriya Izuku/Original Female Character(s),08 Apr 2023
Iida Tenya/Reader,08 Apr 2023
Iida Tenya/Original Female Character(s),08 Apr 2023
Kirishima Eijirou/Reader,08 Apr 2023
Kirishima Eijirou/Original Female Character(s),08 Apr 2023
Todoroki Shouto/Reader,08 Apr 2023
Todoroki Shouto/Original Female Character(s),08 Apr 2023
Dabi | Todoroki Touya/Reader,08 Apr 2023
Dabi | Todoroki Touya/Original Female Character(s),08 Apr 2023
Shinsou Hitoshi/Reader,08 Apr 2023
Shinsou Hitoshi/Original Female Character(s),08 Apr 2023
Todoroki Fuyumi & Todoroki Shouto,08 Apr 2023
Todoroki Fuyumi/Todoroki Shouto,08 Apr 2023
Todoroki Fuyumi & Todoroki Rei,08 Apr 2023
Todoroki Fuyumi/Todoroki Rei,08 Apr 2023
Todoroki Rei & Todoroki Shouto,08 Apr 2023
Todoroki Rei/Todoroki Shouto,08 Apr 2023
Minor or Background Relationship(s),08 Apr 2023
No Romantic Relationship(s),08 Apr 2023
Bakugou Katsuki & Midoriya Izuku,08 Apr 2023
Bakugou Katsuki/Todoroki Shouto,08 Apr 2023
Bakugou Katsuki & Midoriya Izuku,08 Apr 2023
Other Relationship Tags to Be Added,08 Apr 2023
Midoriya Izuku & Shouji Mezou,08 Apr 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,07 Apr 2023
Aizawa Shouta | Eraserhead/Original Female Character(s),07 Apr 2023
Aizawa Shouta | Eraserhead & Kayama Nemuri | Midnight & Yamada Hizashi | Present Mic,07 Apr 2023
Aizawa Shouta | Eraserhead/Reader,07 Apr 2023
Yamada Hizashi | Present Mic/Reader,07 Apr 2023
Yamada Hizashi | Present Mic/Original Female Character(s),07 Apr 2023
Kayama Nemuri | Midnight & Reader,07 Apr 2023
Todoroki Enji | Endeavor/Todoroki Rei,07 Apr 2023
Takami Keigo | Hawks & Todoroki Enji | Endeavor,07 Apr 2023
Todoroki Enji | Endeavor/Yagi Toshinori | All Might,07 Apr 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,07 Apr 2023
Bakugou Katsuki/Midoriya Izuku,07 Apr 2023
Bakugou Katsuki/Todoroki Shouto,07 Apr 2023
Armin Arlert/Eren Yeager,07 Apr 2023
Mikasa Ackerman/Armin Arlert/Eren Yeager,07 Apr 2023
Midoriya Izuku/Todoroki Shouto,07 Apr 2023
Bakugou Katsuki/Midoriya Izuku,07 Apr 2023
Bakugou Katsuki/Uraraka Ochako,07 Apr 2023
Todoroki Shouto/Yaoyorozu Momo,07 Apr 2023
Jirou Kyouka/Kaminari Denki,07 Apr 2023
Ashido Mina/Kirishima Eijirou,07 Apr 2023
Bakugou Katsuki/Monoma Neito,07 Apr 2023
Bakugou Katsuki/Todoroki Shouto,07 Apr 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,07 Apr 2023
,07 Apr 2023
Aizawa Shouta | Eraserhead/Midoriya Izuku,07 Apr 2023
Bakugou Katsuki/Midoriya Izuku,07 Apr 2023
,06 Apr 2023
Ashido Mina & Todoroki Shouto,06 Apr 2023
Ashido Mina/Todoroki Shouto,06 Apr 2023
Bakugou Katsuki/Midoriya Izuku,06 Apr 2023
Bakugou Katsuki/Todoroki Shouto,06 Apr 2023
Shigaraki Tomura | Shimura Tenko & Shimura Hana & Shimura Nao,06 Apr 2023
Shigaraki Tomura | Shimura Tenko & Shimura Kotarou,06 Apr 2023
Shimura Hana & Shimura Kotarou,06 Apr 2023
Shimura Kotarou/Shimura Nao,06 Apr 2023
Shigaraki Tomura | Shimura Tenko & Mon-chan,06 Apr 2023
Mon-chan & Shimura Hana,06 Apr 2023
Mustard (My Hero Academia) & Toga Himiko,06 Apr 2023
Shigaraki Tomura | Shimura Tenko & Toga Himiko,06 Apr 2023
Shimura Hana & Toga Himiko,06 Apr 2023
Mustard & Shigaraki Tomura | Shimura Tenko,06 Apr 2023
Mustard & Shimura Hana,06 Apr 2023
Iguchi Shuuichi | Spinner & Shigaraki Tomura | Shimura Tenko,06 Apr 2023
Midoriya Izuku & Shigaraki Tomura | Shimura Tenko,06 Apr 2023
Shimura Hana & Yaoyorozu Momo,06 Apr 2023
Mustard & Shinsou Hitoshi,06 Apr 2023
Aizawa Shouta | Eraserhead & Kayama Nemuri | Midnight & Mustard,06 Apr 2023
Shigaraki Tomura | Shimura Tenko & Yagi Toshinori | All Might,06 Apr 2023
Shimura Hana & Yagi Toshinori | All Might,06 Apr 2023
Shimura Kotarou & Yagi Toshinori | All Might,06 Apr 2023
Chisaki Kai | Overhaul & Shigaraki Tomura | Shimura Tenko,06 Apr 2023
Chisaki Kai | Overhaul & Shimura Hana,06 Apr 2023
Aizawa Shouta | Eraserhead/Kayama Nemuri | Midnight,06 Apr 2023
Toga Himiko/Uraraka Ochako,06 Apr 2023
Toga Himiko/Utsushimi Camie,06 Apr 2023
Uraraka Ochako/Utsushimi Camie,06 Apr 2023
Toga Himiko/Uraraka Ochako/Utsushimi Camie,06 Apr 2023
Bakugou Katsuki & Iguchi Shuuichi | Spinner,06 Apr 2023
Shuuichi & Nekiru & Tenko & Hana & Nao & Himiko,06 Apr 2023
Midoriya Inko & Midoriya Izuku,06 Apr 2023
Hatsume Mei & Midoriya Izuku,06 Apr 2023
Midoriya Izuku & Gwen Stacy,06 Apr 2023
"Akatani ""Yamikumo"" Mikumo & Midoriya Izuku",06 Apr 2023
Midoriya Inko & Midoriya Izuku,06 Apr 2023
League of Villains & Shigaraki Tomura | Shimura Tenko,06 Apr 2023
Bakugou Katsuki/Midoriya Izuku,06 Apr 2023
Kaminari Denki/Shinsou Hitoshi,06 Apr 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,06 Apr 2023
Aizawa Shouta | Eraserhead & Shinsou Hitoshi,06 Apr 2023
Midoriya Izuku & Yamada Hizashi | Present Mic,06 Apr 2023
Iida Tenya/Midoriya Izuku,06 Apr 2023
Bakugou Katsuki/Kirishima Eijirou,06 Apr 2023
Sasaki Mirai | Sir Nighteye/Yagi Toshinori | All Might,06 Apr 2023
Bakugou Katsuki & Midoriya Izuku,06 Apr 2023
Iida Tenya/Midoriya Izuku,06 Apr 2023
Midoriya Izuku & Shigaraki Tomura | Shimura Tenko,06 Apr 2023
Midoriya Izuku & Toga Himiko,06 Apr 2023
Dabi | Todoroki Touya & Midoriya Izuku,06 Apr 2023
League of Villains & Midoriya Izuku,06 Apr 2023
Dabi | Todoroki Touya/Shigaraki Tomura | Shimura Tenko/Takami Keigo | Hawks,06 Apr 2023
Dabi | Todoroki Touya/Takami Keigo | Hawks,06 Apr 2023
Shigaraki Tomura | Shimura Tenko/Takami Keigo | Hawks,06 Apr 2023
Dabi | Todoroki Touya/Shigaraki Tomura | Shimura Tenko,06 Apr 2023
Midoriya Izuku & Shigaraki Tomura | Shimura Tenko,06 Apr 2023
Dabi | Todoroki Touya/Reader,06 Apr 2023
Midoriya Izuku & Takami Keigo | Hawks,06 Apr 2023
Midoriya Izuku & Yagi Toshinori | All Might,06 Apr 2023
Bakugou Katsuki & Midoriya Izuku,06 Apr 2023
Aizawa Shouta | Eraserhead & Yamada Hizashi | Present Mic,06 Apr 2023
Midoriya Izuku & Nedzu,06 Apr 2023
Class 1-A & Midoriya Izuku,06 Apr 2023
Bakugou Katsuki & Midoriya Izuku,06 Apr 2023
Bakugou Katsuki & Todoroki Shouto,06 Apr 2023
Midoriya Izuku & Todoroki Shouto,06 Apr 2023
Aizawa Shouta | Eraserhead & Bakugou Katsuki,06 Apr 2023
Aizawa Shouta | Eraserhead & Todoroki Shouto,06 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,06 Apr 2023
Annabeth Chase/Percy Jackson,06 Apr 2023
Nico di Angelo/Will Solace,06 Apr 2023
Jirou Kyouka/Kaminari Denki,06 Apr 2023
Bakugou Katsuki/Reader,04 Apr 2023
Bakugou Katsuki/Kirishima Eijirou,04 Apr 2023
Kirishima Eijirou/Reader,04 Apr 2023
Bakugou Katsuki/Kirishima Eijirou/Reader,04 Apr 2023
Midoriya Izuku/Reader,04 Apr 2023
Kirishima Eijirou/Yaoyorozu Momo,04 Apr 2023
Midoriya Izuku & Yoichi | First One For All User,04 Apr 2023
Midoriya Izuku & Shimura Nana,04 Apr 2023
Banjou Daigorou | Lariat & Midoriya Izuku,04 Apr 2023
Bakugou Katsuki/Shigaraki Tomura | Shimura Tenko,04 Apr 2023
Midoriya Izuku & Shigaraki Tomura | Shimura Tenko,04 Apr 2023
Aizawa Shouta | Eraserhead/Yagi Toshinori | All Might,04 Apr 2023
Dabi | Todoroki Touya/Shigaraki Tomura | Shimura Tenko,04 Apr 2023
Midoriya Inko/Sensei | All For One,04 Apr 2023
Original Character/Original Character,04 Apr 2023
Bakugou Katsuki & Midoriya Izuku,04 Apr 2023
Midoriya Izuku & Original Character(s),04 Apr 2023
,04 Apr 2023
Bakugou Katsuki & Midoriya Izuku,04 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,04 Apr 2023
Midoriya Izuku & Yagi Toshinori | All Might,04 Apr 2023
Bakugou Katsuki & Kirishima Eijirou,04 Apr 2023
Bakugou Katsuki & Todoroki Shouto,04 Apr 2023
Aizawa Shouta | Eraserhead & Todoroki Shouto,04 Apr 2023
Dabi | Todoroki Touya/Takami Keigo | Hawks,04 Apr 2023
Bakugou Katsuki/Todoroki Shouto,04 Apr 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,04 Apr 2023
Kaminari Denki/Shinsou Hitoshi,04 Apr 2023
Dabi | Todoroki Touya/Shigaraki Tomura | Shimura Tenko,04 Apr 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,04 Apr 2023
Okumura Rin/Midoriya Inko,04 Apr 2023
Okumura Rin/Kan Sekijirou | Vlad King,04 Apr 2023
Midoriya Izuku & Okumura Rin,04 Apr 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,04 Apr 2023
Fujimoto Shirou/Satan,04 Apr 2023
Shinsou Hitoshi/Toga Himiko,04 Apr 2023
Akaguro Chizome | Stain/Dabi | Todoroki Touya,04 Apr 2023
Dabi | Todoroki Touya & Eri,04 Apr 2023
Midoriya Izuku & Everyone,04 Apr 2023
Toga Himiko & Bakugou Katsuki & Shinsou Hitoshi,04 Apr 2023
Bakugou Katsuki & Midoriya Izuku,04 Apr 2023
Midoriya Izuku & Shinsou Hitoshi,04 Apr 2023
Bakugou Katsuki & Shinsou Hitoshi,04 Apr 2023
Iida Tenya & Midoriya Izuku,04 Apr 2023
Aizawa Shouta | Eraserhead & Class 1-A,04 Apr 2023
Bakugou Katsuki & Midoriya Izuku,04 Apr 2023
Midoriya Inko & Midoriya Izuku,04 Apr 2023
Midoriya Izuku & Ojiro Mashirao,04 Apr 2023
Kaminari Denki/Sero Hanta,04 Apr 2023
Bakugou Katsuki/Kirishima Eijirou,04 Apr 2023
Midoriya Izuku/Todoroki Shouto,04 Apr 2023
Monoma Neito/Shinsou Hitoshi,04 Apr 2023
Takami Keigo | Hawks/Reader,04 Apr 2023
Dabi | Todoroki Touya/Reader,04 Apr 2023
Dabi | Todoroki Touya/Original Female Character(s),04 Apr 2023
Dabi | Todoroki Touya & Reader,04 Apr 2023
Dabi | Todoroki Touya & Original Character(s),04 Apr 2023
Jirou Kyouka/Kaminari Denki,04 Apr 2023
Aizawa Shouta | Eraserhead & Class 1-A,04 Apr 2023
Aizawa Shouta | Eraserhead & Kayama Nemuri | Midnight & Yamada Hizashi | Present Mic,04 Apr 2023
Aizawa Shouta | Eraserhead & Kan Sekijirou | Vlad King,04 Apr 2023
Aizawa Shouta | Eraserhead & Yagi Toshinori | All Might,04 Apr 2023
Other Relationship Tags to Be Added,04 Apr 2023
Class 1-A (My Hero Academia) & Original Character(s),04 Apr 2023
Aizawa Shouta | Eraserhead & Original Character(s),04 Apr 2023
Hagakure Tooru & Original Character(s),04 Apr 2023
Ojiro Mashirao & Original Character(s),04 Apr 2023
Original Character(s) & Original Character(s),04 Apr 2023
Midoriya Izuku/Yaoyorozu Momo,04 Apr 2023
Jirou Kyouka/Midoriya Izuku,04 Apr 2023
Midoriya Izuku/Tatsuma Ryuuko | Ryuukyuu,04 Apr 2023
Midoriya Izuku & Todoroki Shouto,04 Apr 2023
Midoriya Izuku/Harem,04 Apr 2023
Class 1-A & Midoriya Izuku,04 Apr 2023
Class 1-B & Midoriya Izuku,04 Apr 2023
Kirishima Eijirou & Midoriya Izuku,04 Apr 2023
Himejima Akeno/Midoriya Izuku,04 Apr 2023
Midoriya Izuku & Pro Heroes,04 Apr 2023
,02 Apr 2023
Aizawa Shouta | Eraserhead & Class 1-A,02 Apr 2023
Aizawa Shouta | Eraserhead & Yamada Hizashi | Present Mic,02 Apr 2023
Bakugou Katsuki/Todoroki Shouto,02 Apr 2023
Kaminari Denki/Shinsou Hitoshi,02 Apr 2023
Hagakure Tooru/Ojiro Mashirao,02 Apr 2023
Midoriya Izuku & Yagi Toshinori | All Might,02 Apr 2023
Bakugou Katsuki & Midoriya Izuku,02 Apr 2023
Midoriya Izuku & Todoroki Shouto,02 Apr 2023
Class 1-A & Midoriya Izuku,02 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,02 Apr 2023
Bakugou Katsuki & Midoriya Izuku,02 Apr 2023
Bakugou Katsuki & Todoroki Shouto,02 Apr 2023
Bakugou Katsuki & Yagi Toshinori | All Might,02 Apr 2023
Dabi | Todoroki Touya & Original Character(s),02 Apr 2023
Toga Himiko & Original Character(s),02 Apr 2023
Hikiishi Kenji | Magne & Original Character(s),02 Apr 2023
Original Character(s) & Original Character(s),02 Apr 2023
Class 1-A (My Hero Academia) & Original Character(s),02 Apr 2023
Aizawa Shouta | Eraserhead & Original Character(s),02 Apr 2023
Emperor of Mankind & Midoriya Izuku,02 Apr 2023
Kitten & Midoriya Izuku,02 Apr 2023
Bakugou Katsuki & Midoriya Izuku,02 Apr 2023
Other Relationship Tags to Be Added,02 Apr 2023
Midoriya Izuku & The Primarchs (Warhammer 40.000),02 Apr 2023
